Provider_Name,Provider_Category,Newly_Added_Provider,Contract_Start_Date
2 CARING HANDS34952,Diagnostic Centre,1,1-Mar
A CARING HOME LLC37271,Diagnostic Centre,0,1-Jun
ACCURATE HOMES LLC35516,Single Speciality,0,1-Nov
ACCURATE HOMES LLC35744,Diagnostic Centre,0,1-Dec
ALLIANCE ASSISTED LIVING INC35801,Single Speciality,1,1-Jan
ALLIANCE HOME CARE36228,Single Speciality,1,1-Apr
ALLIANCE HOME CARE35782,Diagnostic Centre,0,1-May
ALWAYS HERE HOME CARE LLC34096,Diagnostic Centre,0,1-Jul
ANGELS HOMES LLC34624,Diagnostic Centre,0,1-Aug
APPLE VALLEY VILLA25804,Single Speciality,0,1-Nov
ARBORS AT RIDGES ASSISTED LIVI29362,Diagnostic Centre,0,1-Feb
BAYVIEW CASE MANAGEMENT35687,Diagnostic Centre,0,1-Sep
BEEHIVE HOME OF LAKEVILLE35127,Diagnostic Centre,0,1-Nov
BENEDICTINE LIVING COMMUNITY N35421,Diagnostic Centre,0,1-Jan
BETHEL CARE SERVICES INC36650,Diagnostic Centre,0,1-Apr
BRIGHT RESIDENTIAL CARE LLC36051,Single Speciality,0,1-Jul
BROOKDALE INVER GROVE HEIGHTS30627,Diagnostic Centre,0,1-Sep
BROOKDALE WEST ST PAUL AL30634,Diagnostic Centre,1,1-Oct
BROOKVIEW COTTAGE35800,Diagnostic Centre,1,1-Feb
BROOKVIEW COTTAGE INC31307,Diagnostic Centre,1,1-Mar
BURNSVILLE SURGERY CENTER PA34350,Single Speciality,0,1-Jul
CARDENAS FRIENDSHIP HOUSE20980,Diagnostic Centre,0,1-Aug
CARE MINNESOTA LLC35401,Diagnostic Centre,0,1-Nov
CARE PARTNERS STAFFING33919,Diagnostic Centre,1,1-Jan
CARE4LIFE HOME LLC35974,Diagnostic Centre,0,1-Mar
CARING HEARTS RESIDENTIAL36890,Diagnostic Centre,0,1-Jul
CARING FRIENDS LLC36255,Diagnostic Centre,0,1-Aug
CIMARRON27280,Diagnostic Centre,0,1-Oct
COMMUNITY ASSISTED LIVING INC26001,Diagnostic Centre,0,1-Jan
COMMUNITY ASSISTED LIVING INC28479,Diagnostic Centre,0,1-Feb
COSMO HOME HEALTHCARE SERVICE37294,Diagnostic Centre,0,1-Jun
DARTS3086,Diagnostic Centre,0,1-Aug
DIGNIFIED CHOICE CARE32399,Diagnostic Centre,0,1-Sep
DIVINE CARE LLC25125,Diagnostic Centre,0,1-Oct
DIVINE CARE LLC33148,Diagnostic Centre,0,1-Dec
EAGAN BEHAVIORAL HEALTH SERVIC37267,Diagnostic Centre,0,1-Jan
EAGAN DIALYSIS UNIT22530,Diagnostic Centre,0,1-Feb
EBENEZER RIDGES GERIATRIC CC756,Diagnostic Centre,0,1-Sep
ECUMEN SEASONS AT APPLE VALLEY30758,Diagnostic Centre,1,1-Oct
ECUMEN SEASONS AT APPLE VALLEY27794,Diagnostic Centre,1,1-Nov
EMERALD CREST OF BURNSVILLE21141,Diagnostic Centre,0,1-Dec
EVERBLOOM HOME HEALTHCARE LLC37653,Diagnostic Centre,0,1-Mar
FAIRVIEW RIDGES HOSPITAL107,Diagnostic Centre,1,1-May
FAMILY CHOICE HOMECARE21807,Diagnostic Centre,0,1-Jun
GADA INTEGRATED HEALTHCA S36970,Diagnostic Centre,0,1-Nov
GEMINI MANOR30432,Diagnostic Centre,1,1-Jan
